Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
8103,Power Finance Corpn. Ltd.,201303,Central Government,1986,210.54,9.03,617.26,-415.75,626.29,201.51,-197%,,248%
8104,Power Grid Corpn. Of India Ltd.,201303,Central Government,1989,12989.09,73.72,5491.05,7424.32,5564.77,12915.37,57%,,2%
8105,Power Mech Projects Ltd.,201303,Indian Private Sector,1999,932.95,65.76,780.80,86.39,846.56,867.19,9%,,2%
8106,Power Soaps Ltd.,201303,Indian Private Sector,1997,143.89,125.30,16.00,2.59,141.30,18.59,2%,,5%
8107,Power System Operation Corpn. Ltd.,201303,Central Government,2009,221.66,,143.79,77.87,143.79,221.66,35%,,4%
8108,Powergrid N M Transmission Ltd.,201303,Central Government,2011,,,0.00,0.00,0.00,,,,0%
8109,Powergrid Unchahar Transmission Ltd.,201303,Central Government,2012,,,,,,,,,0%
8110,Powergrid Vemagiri Transmission Ltd.,201303,Central Government,2011,,,0.05,-0.05,0.05,,,,0%
8111,Powergrid Vizag Transmission Ltd.,201303,Central Government,2011,,,0.35,-0.35,0.35,,,,0%
8112,Powerica Ltd.,201303,Indian Private Sector,1984,1453.40,1088.40,272.69,92.31,1361.09,365.00,6%,,1%
8113,Powerlinks Transmission Ltd.,201303,Indian Private Sector,2001,251.55,0.82,99.71,151.02,100.53,250.73,60%,,2%
8114,Powertel Engineering Pvt. Ltd.,201303,Indian Private Sector,1999,4.08,3.09,0.95,0.04,4.04,0.99,1%,,0%
8115,Prabartak Jute Mills Ltd.,201303,Indian Private Sector,1935,84.24,52.91,30.42,0.91,83.33,31.33,1%,,3%
8116,Prabha Energy Pvt. Ltd.,201303,Indian Private Sector,2009,0.02,,0.01,0.01,0.01,0.02,50%,,0%
8117,Prabha Mercantile Co. Ltd.,201303,Indian Private Sector,1985,0.04,,0.02,0.02,0.02,0.04,50%,,75%
8118,Prabhat Udyog Ltd.,201303,Indian Private Sector,1961,0.59,0.00,0.21,0.38,0.21,0.59,64%,,0%
8119,Prabhav Industries Ltd.,201303,Indian Private Sector,1995,38.18,41.06,4.34,-7.22,45.40,-2.88,-19%,,0%
8120,Prabhu Structures Ltd.,201303,Indian Private Sector,1971,0.00,0.06,0.25,-0.31,0.31,-0.06,,,0%
8121,Prachit Holdings Ltd.,201303,Foreign Private Sector,1992,,,,,,,,,0%
8122,Pradeep Metals Ltd.,201303,Indian Private Sector,1982,126.86,78.87,36.18,11.81,115.05,47.99,9%,,10%
8123,Pradip Overseas Ltd.,201303,Indian Private Sector,2005,950.25,907.32,68.13,-25.20,975.45,42.93,-3%,,2%
8124,Prag Agro Farm Ltd.,201303,Foreign Private Sector,1997,0.75,-0.31,1.01,0.05,0.70,1.06,7%,,3%
8125,Prag Distillery Pvt. Ltd.,201303,Indian Private Sector,2005,128.20,90.05,22.52,15.63,112.57,38.15,12%,,13%
8126,Pragati Power Corpn. Ltd.,201303,Government,2001,1885.72,1104.45,336.40,444.87,1440.85,781.27,24%,,2%
8127,Praj Hipurity Systems Ltd.,201303,Indian Private Sector,2007,85.25,43.32,22.88,19.05,66.20,41.93,22%,,3%
8128,Praj Industries Ltd.,201303,Indian Private Sector,1985,772.81,459.23,254.84,58.74,714.07,313.58,8%,,14%
8129,Prajay Engineers Syndicate Ltd.,201303,Indian Private Sector,1994,136.90,192.44,-87.81,32.27,104.63,-55.54,24%,,6%
8130,Prajeev Investments Ltd.,201303,Indian Private Sector,1972,0.06,,0.11,-0.05,0.11,0.06,-83%,,0%
8131,Prakalpa Properties Pvt. Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
8132,Prakash Constrowell Ltd.,201303,Indian Private Sector,1996,166.98,35.40,124.37,7.21,159.77,131.58,4%,,0%
8133,Prakash Industries Ltd.,201303,Indian Private Sector,1980,2510.46,1797.98,492.63,219.85,2290.61,712.48,9%,,3%
8134,Prakash Steelage Ltd.,201303,Indian Private Sector,1991,792.24,706.28,43.76,42.20,750.04,85.96,5%,,3%
8135,Prakash Woollen & Synthetic Mills Ltd.,201303,Indian Private Sector,1979,64.26,44.61,14.79,4.86,59.40,19.65,8%,,12%
8136,Pramada Finvest Ltd.,201303,Indian Private Sector,1992,,0.01,0.03,-0.04,0.04,-0.01,,,0%
8137,Pranav Vikas (India) Pvt. Ltd.,201303,Indian Private Sector,1987,172.25,116.85,42.74,12.66,159.59,55.40,7%,,0%
8138,Pranavaditya Spinning Mills Ltd.,201303,Indian Private Sector,1990,61.16,39.34,17.22,4.60,56.56,21.82,8%,,6%
8139,Pranay Holdings Ltd.,201303,Foreign Private Sector,1992,,,,,,,,,0%
8140,Prasha Technologies Ltd.,201303,Indian Private Sector,1993,51.05,36.81,11.34,2.90,48.15,14.24,6%,,7%
8141,Prashansha Ceramics Ltd.,201303,Indian Private Sector,1995,0.00,,0.05,-0.05,0.05,0.00,,,0%
8142,Prashant India Ltd.,201303,Indian Private Sector,1983,1.91,0.08,2.52,-0.69,2.60,1.83,-36%,,0%
8143,Prashanth Textiles Pvt. Ltd.,201303,Indian Private Sector,1980,1.13,0.02,0.69,0.42,0.71,1.11,37%,,2%
8144,Prasidh Finance Ltd.,201303,Indian Private Sector,1983,0.01,0.00,0.02,-0.01,0.02,0.01,-100%,,0%
8145,Prasol Chemicals Ltd.,201303,Indian Private Sector,1992,191.36,151.28,27.05,13.03,178.33,40.08,7%,,5%
8146,Pratap Holdings Ltd.,201303,Indian Private Sector,1993,,,0.01,-0.01,0.01,,,,0%
8147,Pratibha Industries Ltd.,201303,Indian Private Sector,1995,1649.64,693.87,714.04,241.73,1407.91,955.77,15%,,0%
8148,Pratibha Manufacturing & Mktg. Ltd.,201303,Indian Private Sector,1974,0.16,,0.21,-0.05,0.21,0.16,-31%,,0%
8149,Pratik Panels Ltd.,201303,Indian Private Sector,1989,3.86,5.24,0.25,-1.63,5.49,-1.38,-42%,,0%
8150,Pratiksha Chemicals Ltd.,201303,Indian Private Sector,1991,5.84,3.75,1.90,0.19,5.65,2.09,3%,,3%
8151,Praval Developers Pvt. Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
8152,Pravara Renewable Energy Ltd.,201303,Indian Private Sector,2008,,,0.00,0.00,0.00,,,,0%
8153,Praveen Properties Ltd.,201303,Indian Private Sector,1994,0.00,0.00,0.07,-0.07,0.07,0.00,,,0%
8154,Prayagraj Power Generation Co. Ltd.,201303,Indian Private Sector,2007,,,,,,,,,0%
8155,Prebon Yamane (India) Ltd.,201212,Indian Private Sector,1995,18.89,1.47,12.73,4.69,14.20,17.42,25%,,17%
8156,Precious Trading & Investments Ltd.,201303,Indian Private Sector,1983,,,0.01,-0.01,0.01,,,,0%
8157,Precision Automation & Robotics India Ltd.,201303,Indian Private Sector,1990,304.81,167.21,104.87,32.73,272.08,137.60,11%,,3%
8158,Precision Camshafts Ltd.,201303,Indian Private Sector,1992,361.09,160.10,155.71,45.28,315.81,200.99,13%,,12%
8159,Precision Containeurs Ltd.,201303,Indian Private Sector,1981,8.02,,1.31,6.71,1.31,8.02,84%,,1%
8160,Precision Electronics Ltd.,201303,Indian Private Sector,1979,12.86,4.07,13.76,-4.97,17.83,8.79,-39%,,20%
8161,Precision Realty Developers Pvt. Ltd.,201303,Indian Private Sector,2007,0.00,,0.00,0.00,0.00,0.00,,,0%
8162,Precision Seals Mfg. Ltd.,201212,Foreign Private Sector,1989,35.37,16.48,16.26,2.63,32.74,18.89,7%,,2%
8163,Precision Wires India Ltd.,201303,Indian Private Sector,1989,976.12,875.86,74.20,26.06,950.06,100.26,3%,,2%
8164,Precot Meridian Energy Ltd.,201303,Indian Private Sector,2002,,,,,,,,,0%
8165,Precot Meridian Ltd.,201303,Indian Private Sector,1962,667.16,372.03,246.43,48.70,618.46,295.13,7%,,12%
8166,Preethi Kitchen Appliances Pvt. Ltd.,201303,Foreign Private Sector,2011,439.70,317.20,225.20,-102.70,542.40,122.50,-23%,,27%
8167,Preeti Townships Pvt. Ltd.,201303,Indian Private Sector,2007,,,0.00,0.00,0.00,,,,0%
8168,Prem Somani Financial Services Ltd.,201303,Indian Private Sector,1991,0.00,,0.06,-0.06,0.06,0.00,,,0%
8169,Premco Global Ltd.,201303,Indian Private Sector,1986,53.32,28.56,16.31,8.45,44.87,24.76,16%,,7%
8170,Premier Capital Services Ltd.,201303,Indian Private Sector,1983,0.13,0.00,0.08,0.05,0.08,0.13,38%,,0%
8171,Premier Chennai Properties Ltd.,201303,Indian Private Sector,2007,0.00,0.00,0.06,-0.06,0.06,0.00,,,0%
8172,Premier Cryogenics Ltd.,201303,Indian Private Sector,1994,19.89,4.36,12.41,3.12,16.77,15.53,16%,,22%
8173,Premier Energy & Infrastructure Ltd.,201206,Indian Private Sector,1988,54.37,0.07,48.12,6.18,48.19,54.30,11%,,1%
8174,Premier Explosives Ltd.,201303,Indian Private Sector,1980,110.83,57.43,44.60,8.80,102.03,53.40,8%,,12%
8175,Premier Industries (India) Ltd. [Merged],201303,Indian Private Sector,1973,118.53,112.40,10.44,-4.31,122.84,6.13,-4%,,4%
8176,Premier Ispat Ltd.,201303,Indian Private Sector,1999,137.13,121.28,12.29,3.56,133.57,15.85,3%,,1%
8177,Premier Ltd.,201303,Indian Private Sector,1944,283.15,150.32,77.40,55.43,227.72,132.83,20%,,5%
8178,Premier Pipes Ltd.,201303,Indian Private Sector,1975,29.73,26.40,2.89,0.44,29.29,3.33,1%,,1%
8179,Premier Polyfilm Ltd.,201303,Indian Private Sector,1992,72.01,51.35,16.73,3.93,68.08,20.66,5%,,7%
8180,Premier Proteins Ltd.,201303,Indian Private Sector,1986,16.62,13.50,5.36,-2.24,18.86,3.12,-13%,,3%
8181,Premier Synthetics Ltd.,201303,Indian Private Sector,1970,18.31,2.25,20.12,-4.06,22.37,16.06,-22%,,4%
8182,Premier Tissues India Ltd.,201206,Indian Private Sector,1998,45.54,20.15,21.55,3.84,41.70,25.39,8%,,63%
8183,Premier Wire Products Ltd.,201303,Indian Private Sector,2007,12.09,7.43,3.50,1.16,10.93,4.66,10%,,3%
8184,Premier'S Tea Ltd.,201303,Indian Private Sector,1998,13.10,6.28,5.26,1.56,11.54,6.82,12%,,27%
8185,Premium Capital Market & Invst. Ltd.,201303,Indian Private Sector,1992,0.08,,0.05,0.03,0.05,0.08,38%,,0%
8186,Premium Industries India Ltd.,201303,Indian Private Sector,1973,0.05,0.03,0.02,0.00,0.05,0.02,0%,,0%
8187,Premium Linkers Ltd.,201303,Indian Private Sector,1982,0.01,,0.01,0.00,0.01,0.01,0%,,0%
8188,Premium Transmission Ltd.,201303,Indian Private Sector,1983,371.11,202.41,124.81,43.89,327.22,168.70,12%,,7%
8189,Premjyot Fabrics Ltd.,201303,Indian Private Sector,1988,13.91,10.61,2.60,0.70,13.21,3.30,5%,,3%
8190,Premsagar Merchants Pvt. Ltd.,201303,Indian Private Sector,2007,,,,,,,,,0%
8191,Prerna Infrabuild Ltd.,201303,Indian Private Sector,1988,2.02,-0.27,3.70,-1.41,3.43,2.29,-70%,,31%
8192,Prescient Color Ltd.,201303,Indian Private Sector,2006,51.19,34.91,12.33,3.95,47.24,16.28,8%,,4%
8193,Presha Metallurgical Ltd.,201303,Indian Private Sector,1990,,0.01,0.02,-0.03,0.03,-0.01,,,0%
8194,Presidency Exports & Inds. Ltd.,201303,Indian Private Sector,1919,27.09,21.66,2.55,2.88,24.21,5.43,11%,,2%
8195,Presidency Finance Ltd.,201303,Foreign Private Sector,1988,,,0.01,-0.01,0.01,,,,0%
8196,Pressman Advertising Ltd.,201303,Indian Private Sector,1983,43.96,0.03,39.03,4.90,39.06,43.93,11%,,0%
8197,Pressman Properties Ltd.,201303,Indian Private Sector,1995,0.00,0.57,1.21,-1.78,1.78,-0.57,,,0%
8198,Pressure Sensitive Systems (India) Ltd.,201303,Indian Private Sector,1987,,0.01,0.01,-0.02,0.02,-0.01,,,0%
8199,Prestige Amusements Pvt. Ltd.,201303,Indian Private Sector,1998,22.33,0.02,21.04,1.27,21.06,22.31,6%,,12%
8200,Prestige Bidadi Holdings Pvt. Ltd.,201303,Indian Private Sector,2007,,0.00,0.05,-0.05,0.05,0.00,,,0%
8201,Prestige Construction Ventures Pvt. Ltd.,201303,Indian Private Sector,2007,64.36,192.05,-149.31,21.62,42.74,-127.69,34%,,5%
8202,Prestige Estates Projects Ltd.,201303,Indian Private Sector,1997,1497.85,-289.79,1414.50,373.14,1124.71,1787.64,25%,,6%
8203,Prestige Garden Resorts Pvt. Ltd.,201303,Indian Private Sector,1996,,,0.38,-0.38,0.38,,,,0%
8204,Prestige Leisure Resorts Pvt. Ltd.,201303,Indian Private Sector,1998,65.04,0.30,57.08,7.66,57.38,64.74,12%,,8%
8205,Prestige Mangalore Retail Ventures Pvt. Ltd.,201303,Indian Private Sector,2007,,,0.35,-0.35,0.35,,,,0%
8206,Prestige Mysore Retail Ventures Pvt. Ltd.,201303,Indian Private Sector,2007,,0.01,0.07,-0.08,0.08,-0.01,,,0%
8207,Prestige Shantiniketan Leisures Pvt. Ltd.,201303,Indian Private Sector,2007,,,0.05,-0.05,0.05,,,,0%
8208,Prestige Valley View Estates Pvt. Ltd.,201303,Indian Private Sector,1996,1.76,,1.19,0.57,1.19,1.76,32%,,0%
8209,Prestige Vyapaar Ltd.,201303,Indian Private Sector,1996,0.04,,,0.04,,0.04,100%,,0%
8210,Prestige Whitefield Invst. & Developers Pvt. Ltd.,201303,Indian Private Sector,2008,,,0.02,-0.02,0.02,,,,0%
8211,Pricol Castings Ltd.,201303,Indian Private Sector,1994,27.09,11.79,13.63,1.67,25.42,15.30,6%,,5%
8212,Pricol Ltd.,201303,Indian Private Sector,1972,874.90,599.28,245.43,30.19,844.71,275.62,3%,,5%
8213,Pridhvi Asset Reconstruction & Securitisation Co. Ltd.,201303,Indian Private Sector,2007,1.76,0.03,2.72,-0.99,2.75,1.73,-56%,,2%
8214,Prima Agro Ltd.,201303,Indian Private Sector,1987,6.31,1.09,5.28,-0.06,6.37,5.22,-1%,,0%
8215,Prima Buildwell Pvt. Ltd.,201303,Indian Private Sector,2006,,,0.02,-0.02,0.02,,,,0%
8216,Prima Communications Ltd.,201303,Indian Private Sector,1982,,,0.02,-0.02,0.02,,,,0%
8217,Prima Industries Ltd.,201303,Indian Private Sector,1994,13.68,12.51,2.72,-1.55,15.23,1.17,-11%,,1%
8218,Prima Plastics Ltd.,201303,Indian Private Sector,1993,70.37,50.59,20.03,-0.25,70.62,19.78,0%,,20%
8219,Prime Capital Market Ltd.,201303,Indian Private Sector,1994,0.16,,0.08,0.08,0.08,0.16,50%,,0%
8220,Prime Cellular Ltd.,201303,Indian Private Sector,1995,,,0.10,-0.10,0.10,,,,0%
8221,Prime Focus Ltd.,201303,Indian Private Sector,1997,191.05,0.27,269.35,-78.57,269.62,190.78,-41%,,3%
8222,Prime Industries Ltd.,201303,Indian Private Sector,1992,0.00,,0.33,-0.33,0.33,0.00,,,0%
8223,Prime Infrapark Pvt. Ltd.,201303,Indian Private Sector,2009,3.03,0.16,9.59,-6.72,9.75,2.87,-222%,,215%
8224,Prime Meiden Ltd.,201303,Indian Private Sector,2008,118.02,112.83,30.80,-25.61,143.63,5.19,-22%,,4%
8225,Prime Property Devp. Corpn. Ltd.,201303,Indian Private Sector,1992,103.61,82.60,3.23,17.78,85.83,21.01,17%,,0%
8226,Prime Property Holdings Ltd.,201303,Indian Private Sector,2008,0.00,,2.06,-2.06,2.06,0.00,,,0%
8227,Prime Techno Build Pvt. Ltd.,201303,Indian Private Sector,2005,,,,,,,,,0%
8228,Prime Urban Devp. India Ltd.,201303,Indian Private Sector,1936,24.72,19.77,4.65,0.30,24.42,4.95,1%,,2%
8229,Primenet Global Ltd.,201303,Indian Private Sector,1984,8.76,1.61,7.09,0.06,8.70,7.15,1%,,9%
8230,Primetime Realtors Pvt. Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
8231,Primordial Buildcon Pvt. Ltd.,201303,Indian Private Sector,2004,15.04,12.73,0.00,2.31,12.73,2.31,15%,,0%
8232,Principal P N B Asset Mgmt. Co. Pvt. Ltd.,201303,Foreign Private Sector,1991,31.38,0.13,40.98,-9.73,41.11,31.25,-31%,,2%
8233,Prism Cement Ltd.,201303,Indian Private Sector,1992,4767.43,2240.85,2427.49,99.09,4668.34,2526.58,2%,,42%
8234,Prism Finance Ltd.,201303,Indian Private Sector,1994,0.23,0.00,0.12,0.11,0.12,0.23,48%,,0%
8235,Prism Informatics Ltd.,201303,Indian Private Sector,1982,22.19,,21.40,0.79,21.40,22.19,4%,,9%
8236,Prism Medico & Pharmacy Ltd.,201303,Indian Private Sector,1985,,,0.15,-0.15,0.15,,,,0%
8237,Prismo (India) Ltd.,201303,Indian Private Sector,1983,0.00,,0.02,-0.02,0.02,0.00,,,0%
8238,Prithvi Information Solutions Ltd.,201303,Indian Private Sector,1998,1500.75,0.29,1455.44,45.02,1455.73,1500.46,3%,,17%
8239,Prithvi Softech Ltd.,201303,Indian Private Sector,1995,5.54,0.00,3.72,1.82,3.72,5.54,33%,,4%
8240,Pritika Autocast Ltd.,201303,Indian Private Sector,2004,77.97,46.96,22.03,8.98,68.99,31.01,12%,,1%
8241,Pritish Nandy Communications Ltd.,201303,Indian Private Sector,1993,1.05,1.27,5.48,-5.70,6.75,-0.22,-543%,,23%
8242,Privi Organics Ltd.,201303,Indian Private Sector,1982,429.18,293.17,107.83,28.18,401.00,136.01,7%,,4%
8243,Privilege Power & Infrastructure Pvt. Ltd.,201303,Indian Private Sector,1984,2.01,-90.45,50.16,42.30,-40.29,92.46,2104%,,0%
8244,Priya Constructions Pvt. Ltd.,201303,Indian Private Sector,1986,0.00,0.00,0.11,-0.11,0.11,0.00,,,0%
8245,Priya Food Products Ltd.,201303,Indian Private Sector,1993,58.67,44.85,12.24,1.58,57.09,13.82,3%,,13%
8246,Priya International Ltd.,201303,Indian Private Sector,1995,11.12,7.70,2.94,0.48,10.64,3.42,4%,,4%
8247,Priya Laboratories Pvt. Ltd.,201303,Indian Private Sector,2003,1.69,0.05,1.32,0.32,1.37,1.64,19%,,0%
8248,Priya Ltd.,201303,Indian Private Sector,1986,212.90,197.62,8.02,7.26,205.64,15.28,3%,,1%
8249,Prize Petroleum Co. Ltd.,201303,Central Government,1998,7.21,0.01,8.75,-1.55,8.76,7.20,-21%,,3%
8250,Pro Fin Capital Services Ltd.,201303,Indian Private Sector,1991,,,0.23,-0.23,0.23,,,,0%
8251,Procal Electronics India Ltd.,201303,Indian Private Sector,1992,,0.00,0.07,-0.07,0.07,0.00,,,0%
8252,Procter & Gamble Home Products Pvt. Ltd.,201303,Foreign Private Sector,1989,4842.75,2648.27,2616.31,-421.83,5264.58,2194.48,-9%,,92%
8253,Procter & Gamble Hygiene & Health Care Ltd.,201206,Foreign Private Sector,1964,1300.11,537.45,588.02,174.64,1125.47,762.66,13%,,67%
8254,Profab Fashions (India) Ltd.,201303,Indian Private Sector,2008,0.49,0.35,,0.14,0.35,0.14,29%,,0%
8255,Professional Access Software Devp. Pvt. Ltd.,201303,Indian Private Sector,2002,59.68,,67.47,-7.79,67.47,59.68,-13%,,0%
8256,Professional Commodity Services Pvt. Ltd.,201303,Indian Private Sector,2004,0.04,,0.11,-0.07,0.11,0.04,-175%,,0%
8257,Professional Diamonds Ltd.,201303,Indian Private Sector,1986,1.73,1.68,0.10,-0.05,1.78,0.05,-3%,,2%
8258,Profin Money Markets Ltd.,201303,Indian Private Sector,1990,0.00,,0.06,-0.06,0.06,0.00,,,0%
8259,Progen Systems & Technologies Ltd.,201303,Indian Private Sector,1994,6.20,2.58,6.20,-2.58,8.78,3.62,-42%,,2%
8260,Progressive Constructions Ltd.,201303,Indian Private Sector,1998,333.90,25.80,362.33,-54.23,388.13,308.10,-16%,,0%
8261,Progressive Exim Ltd.,201303,Indian Private Sector,1998,119.65,100.33,12.87,6.45,113.20,19.32,5%,,1%
8262,Progressive Extractions & Exports Ltd.,201303,Indian Private Sector,1981,,,0.15,-0.15,0.15,,,,0%
8263,Projects & Devp. India Ltd.,201303,Central Government,1978,69.17,3.60,64.34,1.23,67.94,65.57,2%,,1%
8264,Proland Software Pvt. Ltd.,201303,Indian Private Sector,1991,0.26,,0.35,-0.09,0.35,0.26,-35%,,0%
8265,Promac Engineering Inds. Ltd.,201303,Indian Private Sector,1972,364.03,154.79,165.09,44.15,319.88,209.24,12%,,8%
8266,Promact Plastics Ltd.,201303,Indian Private Sector,1985,3.71,3.82,1.13,-1.24,4.95,-0.11,-33%,,2%
8267,Prompt Corporate Services Ltd.,201303,Indian Private Sector,1994,,,2.82,-2.82,2.82,,,,0%
8268,Pronet Interactive Pvt. Ltd.,201303,Indian Private Sector,2007,,,,,,,,,0%
8269,Propmart Technologies Ltd.,201303,Indian Private Sector,2000,0.88,0.11,2.51,-1.74,2.62,0.77,-198%,,24%
8270,Proseal Closures Ltd.,201303,Central Government,1989,64.24,33.43,20.92,9.89,54.35,30.81,15%,,9%
8271,Proskins Fashions Ltd.,201303,Indian Private Sector,2011,,,,,,,,,0%
8272,Prosperita Hotel Ventures Ltd.,201303,Indian Private Sector,2012,,,,,,,,,0%
8273,Proto Developers & Technologies Ltd.,201303,Indian Private Sector,1994,285.72,-6.41,288.04,4.09,281.63,292.13,1%,,3%
8274,Protochem Industries Pvt. Ltd.,201303,Indian Private Sector,2000,10.67,8.82,2.34,-0.49,11.16,1.85,-5%,,2%
8275,Provestment Services Ltd.,201303,Indian Private Sector,1994,1.91,0.01,1.54,0.36,1.55,1.90,19%,,3%
8276,Provident Housing Ltd.,201303,Indian Private Sector,2008,408.70,-213.08,458.26,163.52,245.18,621.78,40%,,17%
8277,Provogue (India) Ltd.,201303,Indian Private Sector,1997,537.08,379.71,107.67,49.70,487.38,157.37,9%,,7%
8278,Provogue Infrastructure Pvt. Ltd.,201303,Indian Private Sector,2006,,,0.08,-0.08,0.08,,,,0%
8279,Prozone Intu Properties Ltd.,201303,Indian Private Sector,2007,7.27,0.07,17.05,-9.85,17.12,7.20,-135%,,79%
8280,Prudential Housing & Infrastructure Devp. Ltd.,201303,Indian Private Sector,1999,,,0.03,-0.03,0.03,,,,0%
8281,Prudential Leasing Ltd.,201303,Indian Private Sector,1985,,0.00,0.00,0.00,0.00,0.00,,,0%
8282,Prudential Sugar Corpn. Ltd.,201303,Indian Private Sector,1990,108.01,90.83,12.04,5.14,102.87,17.18,5%,,1%
8283,Psychotropics India Ltd.,201303,Indian Private Sector,1996,117.43,66.90,41.00,9.53,107.90,50.53,8%,,8%
8284,Pudumjee Holding Ltd.,201303,Indian Private Sector,2011,,,,,,,,,0%
8285,Pudumjee Hygiene Products Ltd.,201303,Indian Private Sector,2004,38.73,33.68,6.61,-1.56,40.29,5.05,-4%,,9%
8286,Pudumjee Industries Ltd.,201303,Indian Private Sector,1965,134.01,89.82,40.02,4.17,129.84,44.19,3%,,1%
8287,Pudumjee Investment & Finance Co. Ltd.,201303,Indian Private Sector,1991,0.00,,0.01,-0.01,0.01,0.00,,,0%
8288,Pudumjee Pulp & Paper Mills Ltd.,201303,Indian Private Sector,1964,193.00,104.80,86.31,1.89,191.11,88.20,1%,,3%
8289,Puja Entertainment (India) Ltd.,201303,Indian Private Sector,2000,0.30,,2.24,-1.94,2.24,0.30,-647%,,0%
8290,Puja Food Products Ltd.,201303,Indian Private Sector,1986,35.20,31.53,3.10,0.57,34.63,3.67,2%,,0%
8291,Pulgaon Cotton Mills Ltd.,201303,Indian Private Sector,1938,18.09,18.02,0.07,0.00,18.09,0.07,0%,,0%
8292,Pulikkal Medical Foundation,201303,Indian Private Sector,1976,136.70,0.53,107.97,28.20,108.50,136.17,21%,,1%
8293,Pulsar International Ltd.,201303,Indian Private Sector,1990,,,0.23,-0.23,0.23,,,,0%
8294,Punamraj Construwell Pvt. Ltd.,201303,Indian Private Sector,2006,5.62,5.25,0.35,0.02,5.60,0.37,0%,,0%
8295,Punctual Trading Ltd.,201303,Indian Private Sector,1986,0.00,,0.09,-0.09,0.09,0.00,,,0%
8296,Pune Sholapur Road Devp. Co. Ltd.,201303,Indian Private Sector,2009,,0.00,0.22,-0.22,0.22,0.00,,,0%
8297,Pune-Paud Toll Road Co. Ltd.,201303,Indian Private Sector,2005,1.99,,6.82,-4.83,6.82,1.99,-243%,,0%
8298,Punit Commercials Ltd.,201303,Indian Private Sector,1984,21.90,21.05,0.74,0.11,21.79,0.85,1%,,1%
8299,Punj Lloyd Aviation Ltd.,201303,Indian Private Sector,2007,5.11,0.03,11.35,-6.27,11.38,5.08,-123%,,0%
8300,Punj Lloyd Inds. Ltd.,201303,Indian Private Sector,1993,,,0.02,-0.02,0.02,,,,0%
8301,Punj Lloyd Infrastructure Ltd.,201303,Indian Private Sector,2007,3.42,0.01,3.66,-0.25,3.67,3.41,-7%,,2%
8302,Punj Lloyd Ltd.,201303,Indian Private Sector,1988,8568.50,2876.23,5002.57,689.70,7878.80,5692.27,8%,,0%
8303,Punj Lloyd Upstream Ltd.,201303,Indian Private Sector,2007,112.18,28.85,66.40,16.93,95.25,83.33,15%,,28%
8304,Punjab & Maharashtra Co-Op. Bank Ltd.,201303,Co-operative Sector,1983,10.55,,138.21,-127.66,138.21,10.55,-1210%,,221%
8305,Punjab & Sind Bank,201303,Central Government,1908,126.24,,1580.00,-1453.76,1580.00,126.24,-1152%,,19%
8306,Punjab Alkalies & Chemicals Ltd.,201303,Joint Sector,1975,287.49,52.36,225.89,9.24,278.25,235.13,3%,,6%
8307,Punjab Ashok Hotel Co. Ltd.,201303,Central Government,1998,,,,,,,,,0%
8308,Punjab Basmati Rice Ltd.,201303,Indian Private Sector,1995,202.86,176.69,14.13,12.04,190.82,26.17,6%,,5%
8309,Punjab Chemicals & Crop Protection Ltd.,201209,Indian Private Sector,1975,544.84,348.39,207.80,-11.35,556.19,196.45,-2%,,4%
8310,Punjab Chemicals & Crop Protection Ltd.,201303,Indian Private Sector,1975,203.51,117.64,80.48,5.39,198.12,85.87,3%,,17%
8311,Punjab Communications Ltd.,201303,Government,1981,25.41,12.74,21.67,-9.00,34.41,12.67,-35%,,4%
8312,Punjab Expo Breveries Pvt. Ltd.,201303,Indian Private Sector,1997,19.34,13.40,3.30,2.64,16.70,5.94,14%,,18%
8313,Punjab Greenfield Resources Ltd.,201303,Indian Private Sector,2007,535.03,529.19,5.89,-0.05,535.08,5.84,0%,,1%
8314,Punjab National Bank,201303,Central Government,1895,3606.60,,13127.75,-9521.15,13127.75,3606.60,-264%,,3%
8315,Punsumi Engineers Ltd.,201209,Indian Private Sector,1988,,,,,,,,,0%
8316,Puravankara Hotels Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
